tconst,averageRating,numVotes
tt0210953,5.5,361
tt0211181,4.8,39622
tt0211279,7.6,22
tt0211296,6.8,33
tt0211309,6.5,490
tt0211387,6.7,6916
tt0211423,7.1,21
tt0211443,4.4,61536
tt0211465,6.1,24867
tt0211492,6.8,4705
tt0211661,6.0,1912
tt0211718,7.2,2978
tt0211915,8.3,794275
tt0211919,6.1,170
tt0211933,6.5,80587
tt0211938,5.7,13205
tt0211941,5.4,1615
tt0211946,7.2,15205
tt0212048,4.4,335
tt0212059,5.0,178
tt0212132,7.3,3297
tt0212215,6.1,275
tt0212271,4.2,237
tt0212292,6.4,302
tt0212294,6.0,142
tt0212298,7.0,109
tt0212338,7.0,355186
tt0212346,6.3,230303
tt0212360,6.4,77
tt0212380,6.2,9037
tt0212495,5.0,282
tt0212604,7.3,1993
tt0212667,3.3,181
tt0212712,7.4,61781
tt0212719,5.9,129
tt0212720,7.2,323049
tt0212742,5.3,1798
tt0212815,7.3,4901
tt0212826,7.0,6072
tt0212827,5.7,706
tt0212830,5.3,6432
tt0212867,4.8,1298
tt0212873,7.8,105
tt0212879,5.9,6187
tt0212881,3.9,117
tt0212910,5.7,1346
tt0212974,6.6,4527
tt0212985,6.8,293200
tt0213113,3.8,78
tt0213127,6.2,71
tt0213149,6.2,351824
tt0213203,6.2,13626
tt0213205,5.8,138
tt0213231,4.9,189
tt0213266,7.5,38
tt0213446,4.9,485
tt0213561,6.3,462
tt0213582,6.5,57
tt0213642,3.3,528
tt0213690,3.6,341
tt0213790,5.2,13820
tt0213802,3.2,1937
tt0213847,7.4,112018
tt0213890,7.0,33383
tt0213985,6.9,2658
tt0214032,6.0,65
tt0214106,4.3,156
tt0214140,8.1,36
tt0214277,5.9,298
tt0214388,5.8,23634
tt0214412,5.7,9
tt0214520,5.7,83
tt0214529,4.5,5186
tt0214548,5.9,69
tt0214619,5.5,143
tt0214638,3.5,342
tt0214646,5.9,162
tt0214723,6.2,86
tt0214728,5.9,704
tt0214757,4.5,515
tt0214871,3.6,1667
tt0214878,6.3,1820
tt0215129,6.5,178297
tt0215135,4.4,3765
tt0215139,6.0,493
tt0215223,5.6,48
tt0215232,4.8,255
tt0215458,5.4,124
tt0215516,6.2,1683
tt0215519,5.6,128
tt0215545,6.7,12353
tt0215679,6.1,510
tt0215681,6.6,4335
tt0215719,7.7,51
tt0215727,4.6,135
tt0215750,7.5,277636
tt0215841,6.4,232
tt0215941,3.4,138
tt0216105,6.3,116
tt0216196,4.2,799
tt0216216,5.9,127932
tt0216250,6.1,57
tt0216256,6.3,97
tt0216279,6.0,553
tt0216290,7.0,39
tt0216417,5.8,2315
tt0216522,5.1,249
tt0216578,6.8,1315
tt0216584,5.6,4154
tt0216587,3.2,92
tt0216620,4.4,2443
tt0216625,7.1,15172
tt0216651,7.6,35814
tt0216669,6.2,108
tt0216689,6.6,1309
tt0216746,3.7,1942
tt0216772,4.1,1393
tt0216787,7.2,10369
tt0216799,7.0,6768
tt0216800,7.1,11959
tt0216837,8.4,25
tt0216841,4.2,1084
tt0216890,4.8,523
tt0216930,4.8,1892
tt0216949,7.2,6
tt0216982,6.3,697
tt0216990,6.7,457
tt0217019,6.1,1834
tt0217031,4.8,413
tt0217086,4.6,1571
tt0217107,3.8,756
tt0217119,6.9,1707
tt0217135,6.0,343
tt0217287,3.6,303
tt0217319,5.2,485
tt0217331,5.1,3183
tt0217355,5.7,4141
tt0217505,7.5,472989
tt0217570,4.2,272
tt0217621,4.7,448
tt0217630,5.3,30356
tt0217654,3.5,832
tt0217664,7.8,42
tt0217686,6.6,102
tt0217756,5.3,15327
tt0217758,5.1,649
tt0217780,3.0,148
tt0217787,5.3,212
tt0217788,5.3,188
tt0217802,4.2,235
tt0217824,6.2,1782
tt0217869,7.3,441857
tt0217978,5.7,1630
tt0217979,3.4,737
tt0218000,6.2,681
tt0218032,5.3,207
tt0218053,3.1,236
tt0218067,4.3,2103
tt0218080,3.3,1315
tt0218107,5.6,1177
tt0218112,6.2,1531
tt0218126,3.5,492
tt0218138,4.6,859
tt0218140,8.3,38
tt0218141,5.9,1806
tt0218182,6.2,1743
tt0218298,5.7,624
tt0218323,4.6,349
tt0218378,6.3,6617
tt0218379,6.4,1896
tt0218390,5.8,208
tt0218426,5.3,161
tt0218475,6.6,82
tt0218533,6.7,2637
tt0218561,5.4,91
tt0218581,5.0,2750
tt0218616,6.6,1401
tt0218619,3.9,9633
tt0218625,3.9,1749
tt0218641,3.3,834
tt0218727,5.1,147
tt0218741,5.7,142
tt0218800,5.7,262
tt0218817,6.1,30318
tt0218839,7.4,66952
tt0218864,5.8,7475
tt0218922,6.0,59798
tt0218967,6.8,119397
tt0218978,4.9,116
tt0219171,6.0,2788
tt0219210,5.4,178
tt0219214,3.7,224
tt0219223,4.9,54
tt0219272,5.2,236
tt0219288,7.5,3257
tt0219327,5.7,565
tt0219333,5.7,859
tt0219336,4.6,113
tt0219338,5.0,50
tt0219374,6.7,4100
tt0219400,5.5,6268
tt0219408,5.7,460
tt0219469,5.8,521
tt0219519,6.3,1737
tt0219636,6.2,501
tt0219640,4.1,429
tt0219643,5.2,45
tt0219653,4.9,36477
tt0219687,7.9,58
tt0219699,6.7,74780
tt0219756,5.4,113
tt0219822,6.4,18971
tt0219854,6.1,44404
tt0219952,5.1,10950
tt0219957,4.9,327
tt0219965,6.5,70941
tt0220005,5.8,92
tt0220034,6.5,310
tt0220099,6.3,20368
tt0220100,6.1,7105
tt0220122,6.5,32
tt0220157,6.5,1333
tt0220322,7.3,28
tt0220331,5.5,28
tt0220332,6.3,51
tt0220343,5.4,1426
tt0220371,5.3,38
tt0220399,5.5,95
tt0220506,3.9,49286
tt0220514,3.9,366
tt0220580,6.8,13633
tt0220605,6.9,23
tt0220607,5.7,9
tt0220627,6.7,7308
tt0220631,6.9,1570
tt0220651,6.7,330
tt0220652,5.3,614
tt0220827,6.2,7495
tt0220864,4.2,170
tt0221013,6.6,1090
tt0221027,7.5,275078
tt0221069,6.2,3648
tt0221073,7.1,41519
tt0221074,6.4,890
tt0221197,4.4,428
tt0221218,5.8,39844
tt0221297,4.5,315
tt0221431,4.7,510
tt0221463,3.8,149
tt0221559,6.9,4816
tt0221563,6.0,1263
tt0221637,5.8,98
tt0221799,6.7,4594
tt0221823,7.2,56
tt0221837,6.2,291
tt0221838,6.8,2571
tt0221885,4.9,1193
tt0221889,5.8,3945
tt0221928,5.1,2166
tt0221982,4.5,804
tt0222012,7.9,14004
tt0222020,3.3,657
tt0222023,9.1,13
tt0222024,5.4,7668
tt0222167,4.5,1171
tt0222270,6.1,8547
tt0222293,6.7,2151
tt0222375,5.5,283
tt0222441,8.5,17
tt0222666,3.5,661
tt0222705,5.0,132
tt0222710,7.7,21
tt0222717,4.5,160
tt0222719,3.7,391
tt0222790,6.3,41
tt0222812,5.7,13028
tt0222849,7.9,28
tt0222850,6.9,8184
tt0222851,7.1,24386
tt0222989,7.6,17
tt0223268,4.4,4507
tt0223284,3.5,225
tt0223593,6.0,167
tt0223744,4.3,212
tt0223828,5.3,98
tt0223832,6.5,1358
tt0223856,5.3,259
tt0223889,5.6,103
tt0223897,7.2,123895
tt0223911,4.9,93
tt0223954,6.0,2310
tt0224025,4.1,1059
tt0224050,6.0,346
tt0224084,4.5,131
tt0224086,3.7,233
tt0224394,5.3,114
tt0224451,7.2,94
tt0224578,7.2,3971
tt0224626,4.1,948
tt0224755,6.3,88
tt0225071,5.7,25704
tt0225196,5.5,321
tt0225518,8.0,36
tt0225828,3.9,185
tt0225865,4.7,365
tt0226094,5.9,334
tt0226198,4.7,167
tt0226225,5.2,161
tt0226238,6.0,64
tt0226351,4.4,227
